kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50007;2;2;2;3.0;6;580;0;20;0;0;0;430;70;0;30;0;0;0;1.0;1.0;2.0;1.0;2.0
50009;1;1;2;1.0;7;0;40;0;0;0;0;560;50;0;240;0;60;0;1.0;1.0;2.0;1.0;1.0
50015;1;1;1;3.0;8;0;10;0;0;0;0;450;80;0;310;10;240;0;2.0;1.0;2.0;1.0;2.0
50032;2;1;1;2.0;8;0;0;10;0;0;0;530;60;0;0;0;170;0;2.0;2.0;2.0;2.0;2.0
50033;1;1;2;1.0;8;00:00;02:10;00:20;00:00;00:00;02:30;07:20;01:00;00:00;00:30;00:00;01:50;00:00;2.0;2.0;2.0;2.0;2.0
50035;2;2;2;1.0;4;00:00;00:00;00:00;03:40;00:00;01:20;09:30;01:10;00:00;00:00;00:00;00:00;00:00;2.0;2.0;2.0;1.0;2.0
50045;1;1;2;3.0;6;0;50;20;0;0;0;560;80;0;130;0;110;50;1.0;2.0;2.0;1.0;2.0
50064;1;1;2;1.0;4;0;0;0;130;80;70;190;80;0;0;0;0;0;1.0;1.0;2.0;1.0;2.0
50065;1;2;2;1.0;8;0;180;0;0;0;40;600;90;0;0;0;50;0;2.0;1.0;2.0;1.0;2.0
50067;1;1;1;2.0;8;0;70;20;0;0;0;720;70;0;50;0;250;0;2.0;2.0;2.0;2.0;1.0
50073;1;2;1;1.0;7;0;0;0;0;0;30;610;260;0;0;0;100;0;1.0;2.0;2.0;1.0;1.0
50074;2;1;1;1.0;5;0;50;0;0;0;?;620;130;0;20;0;0;0;?;?;?;?;?
50075;2;1;2;3.0;5;0;10;30;40;10;210;500;90;0;30;0;0;10;2.0;2.0;2.0;1.0;2.0
50077;2;2;2;1.0;3;0;0;0;0;0;70;460;150;0;0;0;0;0;1.0;2.0;1.0;1.0;1.0
50081;1;1;1;3.0;9;0;0;0;0;0;0;480;10;0;0;0;60;0;2.0;2.0;?;2.0;2.0
50085;1;1;1;1.0;7;0;10;0;0;0;100;480;160;0;130;20;150;0;2.0;2.0;2.0;1.0;1.0
50087;1;2;2;1.0;5;0;100;30;10;20;0;610;70;0;130;0;0;0;1.0;1.0;1.0;1.0;2.0
50092;2;2;1;1.0;4;0;20;0;30;160;0;740;50;0;0;0;200;0;2.0;2.0;2.0;1.0;2.0
50097;1;1;1;1.0;6;0;50;0;0;0;20;420;50;0;30;10;210;0;1.0;?;1.0;2.0;1.0
50098;2;1;1;1.0;5;0;0;0;0;0;0;720;160;0;0;0;100;0;2.0;1.0;2.0;2.0;2.0
50099;1;1;2;1.0;8;0;10;0;0;0;20;520;120;0;130;0;140;0;2.0;1.0;2.0;1.0;2.0
50105;1;2;2;2.0;9;0;20;30;0;0;0;640;120;0;30;0;120;0;2.0;2.0;2.0;2.0;2.0
50110;1;2;1;3.0;6;540;10;0;0;0;0;620;40;0;40;0;0;0;2.0;2.0;2.0;1.0;2.0
50111;2;2;1;2.0;7;00:00;00:00;00:00;00:00;00:00;00:00;09:50;01:40;00:00;00:30;00:00;04:20;00:50;1.0;1.0;1.0;1.0;1.0
50113;2;1;1;3.0;7;0;50;10;0;0;0;580;100;0;60;0;160;0;2.0;2.0;1.0;2.0;1.0
50118;1;1;2;1.0;7;0;40;30;0;0;0;620;70;0;150;0;120;0;1.0;1.0;1.0;1.0;1.0
50132;1;1;1;2.0;8;0;0;0;0;0;0;460;90;0;20;0;0;0;2.0;2.0;1.0;2.0;2.0
50144;2;1;2;1.0;4;0;0;20;350;120;0;590;70;0;0;0;90;20;1.0;2.0;2.0;1.0;1.0
50148;1;1;2;1.0;8;0;0;0;0;0;0;300;80;0;30;0;950;10;2.0;2.0;2.0;2.0;2.0
50149;1;2;2;3.0;6;180;40;10;0;0;0;530;60;0;0;0;120;0;2.0;2.0;2.0;2.0;2.0
50150;2;2;2;1.0;7;0;50;0;0;0;80;440;150;0;30;0;170;0;2.0;1.0;1.0;1.0;2.0
50152;1;2;2;1.0;5;10;20;20;0;0;0;530;110;0;60;0;150;20;1.0;1.0;1.0;1.0;?
50160;1;2;1;1.0;5;170;20;0;0;0;0;560;80;0;0;0;210;0;?;?;?;?;?
50174;1;1;1;1.0;6;00:00;00:10;00:30;00:00;00:00;00:50;07:10;02:10;00:00;02:10;00:00;02:10;00:00;2.0;1.0;1.0;2.0;2.0
50178;1;2;2;2.0;6;0;20;0;0;0;30;460;120;0;100;0;120;0;1.0;1.0;1.0;1.0;2.0
50181;1;1;1;3.0;7;07:00;00:00;00:00;00:00;00:00;00:00;06:10;00:50;00:00;00:40;00:00;00:00;00:00;2.0;2.0;1.0;2.0;2.0
50202;1;1;2;2.0;5;500;0;0;0;0;0;430;50;0;30;0;150;0;2.0;2.0;2.0;2.0;2.0
50204;2;1;2;1.0;6;0;0;0;0;0;60;600;100;0;200;0;60;0;1.0;1.0;2.0;1.0;2.0
50206;2;2;2;1.0;5;0;0;0;0;0;0;430;100;480;0;0;140;10;2.0;1.0;1.0;1.0;2.0
50211;1;2;2;1.0;4;450;20;0;20;30;40;410;70;0;10;0;50;0;1.0;1.0;2.0;1.0;1.0
50213;1;2;2;1.0;6;0;80;60;0;0;0;540;90;0;0;0;130;0;1.0;1.0;2.0;2.0;1.0
50215;2;2;1;1.0;5;0;0;0;0;0;0;920;0;0;60;0;?;0;1.0;1.0;1.0;1.0;1.0
50218;2;1;2;1.0;9;0;20;0;0;0;0;550;140;0;20;30;170;0;?;?;?;?;?
50222;1;2;2;1.0;6;0;10;50;0;0;60;440;70;0;0;0;40;0;2.0;1.0;1.0;2.0;2.0
50230;2;1;1;1.0;6;440;0;0;0;0;40;350;120;0;40;0;130;?;1.0;2.0;2.0;2.0;2.0
50233;1;2;2;1.0;8;0;180;0;0;0;50;500;80;0;60;10;70;0;2.0;1.0;2.0;2.0;2.0
50237;1;2;1;3.0;7;0;50;0;0;0;0;550;140;0;50;0;150;0;2.0;1.0;2.0;2.0;2.0
50239;2;2;2;1.0;7;02:00;00:00;00:00;00:00;00:00;00:40;07:40;01:20;00:00;01:10;00:00;03:30;00:30;2.0;1.0;1.0;1.0;2.0
50246;2;2;1;1.0;6;0;20;0;0;0;40;510;30;0;0;0;550;0;2.0;2.0;2.0;1.0;1.0
50247;2;2;2;3.0;6;0;70;40;0;0;0;630;90;0;110;10;20;40;2.0;2.0;1.0;1.0;2.0
50252;1;2;1;3.0;5;380;80;0;0;0;0;520;50;0;40;0;110;0;2.0;2.0;2.0;2.0;1.0
50267;1;1;1;2.0;8;0;70;10;0;0;100;390;90;0;0;0;540;0;2.0;1.0;2.0;1.0;2.0
50272;2;1;2;1.0;6;0;90;50;0;0;0;480;100;0;80;0;40;0;2.0;1.0;1.0;1.0;1.0
50275;1;2;2;1.0;9;00:00;00:20;00:10;00:00;00:00;02:00;06:50;00:20;00:00;00:00;00:00;02:20;00:00;2.0;2.0;2.0;2.0;2.0
50285;1;2;2;1.0;7;0;50;10;0;0;0;650;50;0;70;0;40;0;1.0;1.0;?;1.0;2.0
50287;2;1;2;3.0;8;0;50;50;0;0;0;540;110;0;40;0;200;10;1.0;1.0;2.0;1.0;2.0
50288;1;2;2;1.0;6;0;40;0;0;0;50;490;50;0;80;0;130;0;?;?;?;?;?
50293;1;2;2;2.0;6;0;160;50;0;0;0;470;130;0;20;0;0;0;1.0;1.0;1.0;1.0;1.0
50295;1;2;2;1.0;8;?;80;30;0;0;60;500;70;0;100;0;240;10;1.0;1.0;1.0;1.0;1.0
50300;1;1;2;3.0;7;0;180;80;0;0;30;330;140;0;0;20;70;0;2.0;2.0;2.0;1.0;2.0
50301;2;1;1;1.0;6;0;20;0;10;10;100;600;100;0;20;10;0;20;2.0;2.0;2.0;1.0;2.0
50302;1;1;2;1.0;8;0;60;20;0;0;50;600;70;0;50;0;170;0;1.0;2.0;1.0;2.0;2.0
50309;1;2;2;1.0;6;460;0;0;0;0;?;380;50;0;0;0;60;10;1.0;1.0;2.0;1.0;2.0
50310;1;1;1;1.0;6;0;80;60;0;0;20;480;160;0;50;30;80;0;2.0;1.0;2.0;2.0;2.0
50313;2;2;1;1.0;6;0;10;0;0;0;20;360;100;0;10;0;0;0;1.0;2.0;1.0;1.0;2.0
50315;2;1;1;1.0;6;480;0;0;0;0;40;470;80;0;20;?;60;10;?;?;?;?;?
50324;1;2;1;1.0;5;630;0;0;10;0;0;490;30;0;10;0;0;10;2.0;2.0;2.0;1.0;2.0
50330;1;2;2;2.0;6;0;20;0;0;0;0;420;70;0;30;0;0;0;1.0;1.0;2.0;1.0;2.0
50342;2;1;2;1.0;8;0;40;40;0;0;0;440;120;0;70;0;50;90;1.0;1.0;1.0;1.0;1.0
50343;1;2;2;2.0;3;150;20;0;0;0;0;560;50;0;0;0;0;40;?;?;?;?;?
50351;2;1;1;1.0;9;0;150;40;0;0;0;370;140;0;40;60;350;0;2.0;?;2.0;2.0;2.0
50365;2;2;1;3.0;6;0;70;0;0;0;20;480;60;0;0;0;120;0;2.0;2.0;1.0;1.0;1.0
50366;2;2;1;2.0;7;0;50;0;0;0;0;500;80;0;30;0;350;0;2.0;1.0;2.0;1.0;2.0
50374;1;2;1;1.0;7;0;0;0;0;0;0;630;220;0;80;0;300;0;1.0;1.0;1.0;1.0;1.0
50376;2;2;2;1.0;7;0;30;0;0;0;30;520;170;0;150;0;170;0;1.0;1.0;2.0;1.0;2.0
50377;2;1;2;3.0;4;0;60;0;0;0;0;410;220;0;0;0;100;10;2.0;2.0;1.0;1.0;2.0
50380;2;2;2;1.0;6;510;50;10;0;0;10;510;40;0;0;0;0;0;1.0;2.0;1.0;1.0;1.0
50382;2;1;1;1.0;6;460;20;10;10;0;20;430;50;0;50;0;190;0;?;?;?;?;?
50383;2;1;2;3.0;4;340;20;20;0;0;140;390;110;0;10;0;100;0;2.0;1.0;2.0;1.0;1.0
50387;2;1;2;3.0;9;0;60;70;0;0;0;540;140;0;190;0;200;0;2.0;2.0;2.0;1.0;2.0
50389;1;1;1;1.0;3;00:00;00:00;00:00;00:00;00:00;02:00;12:20;00:30;00:00;?;00:00;00:00;00:00;1.0;1.0;1.0;1.0;2.0
50396;1;1;1;1.0;4;0;20;0;0;0;0;820;70;0;0;0;180;0;1.0;2.0;2.0;1.0;1.0
50403;1;2;1;3.0;6;370;10;0;0;0;0;520;40;0;0;60;300;0;2.0;2.0;2.0;1.0;2.0
50404;1;1;2;2.0;4;0;50;30;?;50;0;780;160;0;20;0;0;0;1.0;1.0;2.0;1.0;2.0
50406;2;2;2;2.0;7;290;150;20;0;0;40;380;90;0;30;0;0;0;120.0;0.0;0.0;0.0;120.0
50408;2;2;2;3.0;4;0;30;0;310;0;0;630;80;0;40;0;0;0;?;2.0;2.0;1.0;2.0
50410;2;1;2;1.0;8;00:00;01:10;00:10;00:00;00:00;00:00;08:30;01:20;00:00;00:10;00:00;06:20;00:00;2.0;1.0;1.0;1.0;?
50411;1;2;2;3.0;9;0;100;80;0;0;0;700;130;0;170;0;120;0;2.0;2.0;2.0;2.0;2.0
50416;1;2;1;1.0;5;440;20;0;110;60;0;390;80;0;0;0;70;0;2.0;2.0;1.0;1.0;2.0
50428;1;2;2;3.0;8;0;70;20;0;0;30;660;80;0;60;10;190;0;2.0;2.0;2.0;2.0;2.0
50444;2;1;1;1.0;9;0;100;10;0;0;50;520;90;0;50;0;220;0;2.0;2.0;2.0;2.0;2.0
50465;2;2;1;1.0;7;0;50;10;0;0;0;560;120;0;120;0;120;?;1.0;1.0;1.0;1.0;2.0
50467;1;1;1;1.0;7;08:10;00:00;00:00;00:00;00:00;00:10;08:00;01:10;00:00;01:10;00:00;03:20;00:00;1.0;1.0;1.0;1.0;2.0
50472;2;1;2;3.0;7;00:00;00:50;00:40;00:00;00:00;00:00;09:10;03:00;00:00;01:40;00:00;02:00;00:30;1.0;1.0;1.0;2.0;1.0
50473;2;1;1;1.0;6;0;40;0;0;0;10;560;100;0;70;0;100;0;1.0;1.0;1.0;1.0;2.0
50475;2;1;1;2.0;4;0;20;20;150;30;90;520;50;0;0;0;50;10;1.0;2.0;2.0;2.0;1.0
50478;2;2;2;1.0;6;0;?;40;0;0;0;670;80;0;40;0;120;0;2.0;2.0;1.0;1.0;2.0
50479;1;2;2;2.0;7;0;0;10;0;0;100;570;90;0;50;0;130;0;2.0;1.0;1.0;1.0;2.0
50482;2;2;2;1.0;9;0;110;80;0;0;0;570;80;0;110;10;50;0;2.0;1.0;1.0;2.0;2.0
50486;1;1;1;1.0;6;0;20;0;0;0;0;720;80;0;?;0;250;20;2.0;2.0;1.0;2.0;2.0
50491;1;2;1;1.0;9;0;110;40;0;0;0;420;80;0;70;50;220;60;2.0;2.0;2.0;2.0;2.0
50497;2;1;2;3.0;6;0;90;30;0;0;0;620;60;0;0;0;290;?;2.0;2.0;2.0;1.0;2.0
50499;2;2;1;3.0;9;0;20;10;0;0;0;460;120;0;30;200;260;0;2.0;2.0;2.0;2.0;2.0
50511;1;1;2;1.0;3;0;10;0;0;0;0;650;140;0;0;0;150;0;1.0;2.0;2.0;1.0;2.0
50519;1;1;2;1.0;9;0;50;40;0;0;30;530;100;0;170;0;80;70;2.0;2.0;2.0;1.0;2.0
50524;1;1;2;1.0;8;0;50;20;0;0;0;520;150;0;20;0;220;0;2.0;1.0;2.0;2.0;1.0
50527;1;1;2;1.0;8;230;40;20;0;0;0;530;70;0;60;0;90;0;2.0;1.0;1.0;2.0;2.0
50530;1;2;1;1.0;7;460;10;0;0;0;20;500;60;0;20;0;170;20;0.0;120.0;0.0;0.0;0.0
50532;1;1;2;1.0;5;06:00;00:00;00:00;00:00;00:00;00:00;10:40;01:10;?;00:00;00:00;03:20;00:00;1.0;1.0;1.0;1.0;1.0
50536;2;1;2;3.0;4;0;60;30;110;80;60;560;100;0;0;0;110;0;1.0;2.0;1.0;1.0;2.0
50541;1;2;1;3.0;7;0;60;30;0;0;0;480;60;0;0;0;40;20;2.0;2.0;2.0;2.0;1.0
